   0.0000000e+00   1.0000000e+00   0.0000000e+00   0.0000000e+00   1.0000000e+00
   3.0000000e-02   9.8928408e-01  -9.8345801e-02   4.3915797e-02   9.7877112e-01
   6.0000000e-02   9.7715205e-01  -1.9213647e-01   8.8051671e-02   9.5535553e-01
   9.0000000e-02   9.6417846e-01  -2.8105235e-01   1.2947575e-01   9.2999834e-01
   1.2000000e-01   9.4906107e-01  -3.6590566e-01   1.7521964e-01   9.0258627e-01
   1.5000000e-01   9.3265347e-01  -4.4598388e-01   2.2030472e-01   8.7344407e-01
   1.8000000e-01   9.1628589e-01  -5.2064075e-01   2.5810921e-01   8.4294874e-01
   2.1000000e-01   8.9830783e-01  -5.9115245e-01   2.9813759e-01   8.1089003e-01
   2.4000000e-01   8.7880950e-01  -6.5733180e-01   3.3960338e-01   7.7743372e-01
   2.7000000e-01   8.5925326e-01  -7.1834559e-01   3.7489081e-01   7.4298808e-01
   3.0000000e-01   8.3859604e-01  -7.7510202e-01   4.1025659e-01   7.0745435e-01
   3.3000000e-01   8.1699589e-01  -8.2752045e-01   4.4490268e-01   6.7098860e-01
   3.6000000e-01   7.9504357e-01  -8.7535232e-01   4.7596242e-01   6.3381763e-01
   3.9000000e-01   7.7185855e-01  -9.1927324e-01   5.0846712e-01   5.9588065e-01
   4.2000000e-01   7.4802048e-01  -9.5891182e-01   5.3927122e-01   5.5741222e-01
   4.5000000e-01   7.2371927e-01  -9.9428891e-01   5.6769105e-01   5.1855379e-01
   4.8000000e-01   6.9899116e-01  -1.0255489e+00   5.9392689e-01   4.7941051e-01
   5.1000000e-01   6.7348755e-01  -1.0530218e+00   6.2009751e-01   4.4001583e-01
   5.4000000e-01   6.4835811e-01  -1.0761518e+00   6.4040208e-01   4.0068379e-01
   5.7000000e-01   6.2289084e-01  -1.0956875e+00   6.5936920e-01   3.6134789e-01
   6.0000000e-01   5.9707773e-01  -1.1117467e+00   6.7725848e-01   3.2209341e-01
   6.3000000e-01   5.7052546e-01  -1.1246272e+00   6.9624144e-01   2.8293586e-01
   6.6000000e-01   5.4348255e-01  -1.1341677e+00   7.1490211e-01   2.4402035e-01
   6.9000000e-01   5.1720853e-01  -1.1397838e+00   7.2692141e-01   2.0566206e-01
   7.2000000e-01   4.9062558e-01  -1.1424676e+00   7.3879972e-01   1.6770573e-01
   7.5000000e-01   4.6442420e-01  -1.1419207e+00   7.4707036e-01   1.3035250e-01
   7.8000000e-01   4.3778687e-01  -1.1388233e+00   7.5644340e-01   9.3504547e-02
   8.1000000e-01   4.1063466e-01  -1.1331917e+00   7.6715770e-01   5.7227035e-02
   8.4000000e-01   3.8325796e-01  -1.1248384e+00   7.7754475e-01   2.1653810e-02
   8.7000000e-01   3.5721910e-01  -1.1130357e+00   7.7974988e-01  -1.2866510e-02
   9.0000000e-01   3.3096857e-01  -1.0991202e+00   7.8289908e-01  -4.6606825e-02
   9.3000000e-01   3.0466156e-01  -1.0830070e+00   7.8606741e-01  -7.9476515e-02
   9.6000000e-01   2.7790562e-01  -1.0649430e+00   7.9124837e-01  -1.1148997e-01
   9.9000000e-01   2.5114678e-01  -1.0446255e+00   7.9587935e-01  -1.4249680e-01
   1.0200000e+00   2.2596416e-01  -1.0213374e+00   7.9205346e-01  -1.7216289e-01
   1.0500000e+00   2.0049347e-01  -9.9659579e-01   7.9053232e-01  -2.0083579e-01
   1.0800000e+00   1.7537755e-01  -9.6998925e-01   7.8770797e-01  -2.2834345e-01
   1.1100000e+00   1.5041312e-01  -9.4175501e-01   7.8481828e-01  -2.5469180e-01
   1.1400000e+00   1.2561333e-01  -9.1194427e-01   7.8181268e-01  -2.7984161e-01
   1.1700000e+00   1.0122289e-01  -8.8049353e-01   7.7747520e-01  -3.0371421e-01
   1.2000000e+00   7.7152615e-02  -8.4758332e-01   7.7246969e-01  -3.2630200e-01
   1.2300000e+00   5.4056154e-02  -8.1297861e-01   7.6359289e-01  -3.4746298e-01
   1.2600000e+00   3.1816825e-02  -7.7703446e-01   7.5203923e-01  -3.6722139e-01
   1.2900000e+00   1.0166096e-02  -7.4011250e-01   7.3958611e-01  -3.8562700e-01
   1.3200000e+00  -1.1808730e-02  -7.0279070e-01   7.3099903e-01  -4.0283625e-01
   1.3500000e+00  -3.2414544e-02  -6.6403246e-01   7.1710361e-01  -4.1850443e-01
   1.3800000e+00  -5.3029389e-02  -6.2492012e-01   7.0570567e-01  -4.3290490e-01
   1.4100000e+00  -7.3148308e-02  -5.8510236e-01   6.9386175e-01  -4.4592170e-01
   1.4400000e+00  -9.2859686e-02  -5.4470688e-01   6.8209064e-01  -4.5756597e-01
