    201 0.004020   -5.35496
    202 0.004040   -5.34589
    203 0.004060   -5.33686
    204 0.004080   -5.32786
    205 0.004100   -5.31890
    206 0.004120   -5.30998
    207 0.004140   -5.30109
    208 0.004160   -5.29224
    209 0.004180   -5.28343
    210 0.004200   -5.27466
    211 0.004220   -5.26592
    212 0.004240   -5.25722
    213 0.004260   -5.24855
    214 0.004280   -5.23992
    215 0.004300   -5.23132
    216 0.004320   -5.22276
    217 0.004340   -5.21423
    218 0.004360   -5.20574
    219 0.004380   -5.19728
    220 0.004400   -5.18886
    221 0.004420   -5.18047
    222 0.004440   -5.17212
    223 0.004460   -5.16379
    224 0.004480   -5.15551
    225 0.004500   -5.14725
    226 0.004520   -5.13903
    227 0.004540   -5.13084
    228 0.004560   -5.12269
    229 0.004580   -5.11456
    230 0.004600   -5.10647
    231 0.004620   -5.09841
    232 0.004640   -5.09039
    233 0.004660   -5.08239
    234 0.004680   -5.07443
    235 0.004700   -5.06650
    236 0.004720   -5.05860
    237 0.004740   -5.05073
    238 0.004760   -5.04289
    239 0.004780   -5.03509
    240 0.004800   -5.02731
    241 0.004820   -5.01956
    242 0.004840   -5.01185
    243 0.004860   -5.00416
    244 0.004880   -4.99651
    245 0.004900   -4.98888
    246 0.004920   -4.98129
    247 0.004940   -4.97372
    248 0.004960   -4.96618
    249 0.004980   -4.95868
    250 0.005000   -4.95120
    251 0.005020   -4.94375
    252 0.005040   -4.93633
    253 0.005060   -4.92893
    254 0.005080   -4.92157
    255 0.005100   -4.91423
    256 0.005120   -4.90693
    257 0.005140   -4.89965
    258 0.005160   -4.89240
    259 0.005180   -4.88517
    260 0.005200   -4.87798
    261 0.005220   -4.87081
    262 0.005240   -4.86367
    263 0.005260   -4.85655
    264 0.005280   -4.84946
    265 0.005300   -4.84240
    266 0.005320   -4.83537
    267 0.005340   -4.82836
    268 0.005360   -4.82138
    269 0.005380   -4.81443
    270 0.005400   -4.80750
    271 0.005420   -4.80060
    272 0.005440   -4.79372
    273 0.005460   -4.78687
    274 0.005480   -4.78004
    275 0.005500   -4.77325
    276 0.005520   -4.76647
    277 0.005540   -4.75972
    278 0.005560   -4.75300
    279 0.005580   -4.74630
    280 0.005600   -4.73963
    281 0.005620   -4.73298
    282 0.005640   -4.72635
    283 0.005660   -4.71976
    284 0.005680   -4.71318
    285 0.005700   -4.70663
    286 0.005720   -4.70010
    287 0.005740   -4.69360
    288 0.005760   -4.68712
    289 0.005780   -4.68067
    290 0.005800   -4.67424
    291 0.005820   -4.66783
    292 0.005840   -4.66144
    293 0.005860   -4.65508
    294 0.005880   -4.64875
    295 0.005900   -4.64243
    296 0.005920   -4.63614
    297 0.005940   -4.62987
    298 0.005960   -4.62363
    299 0.005980   -4.61740
    300 0.006000   -4.61120
    301 0.006020   -4.60503
    302 0.006040   -4.59887
    303 0.006060   -4.59274
    304 0.006080   -4.58663
    305 0.006100   -4.58054
    306 0.006120   -4.57447
    307 0.006140   -4.56842
    308 0.006160   -4.56240
    309 0.006180   -4.55640
    310 0.006200   -4.55042
    311 0.006220   -4.54446
    312 0.006240   -4.53852
    313 0.006260   -4.53261
    314 0.006280   -4.52671
    315 0.006300   -4.52084
    316 0.006320   -4.51498
    317 0.006340   -4.50915
    318 0.006360   -4.50334
    319 0.006380   -4.49755
    320 0.006400   -4.49178
    321 0.006420   -4.48603
    322 0.006440   -4.48030
    323 0.006460   -4.47459
    324 0.006480   -4.46890
    325 0.006500   -4.46323
    326 0.006520   -4.45758
    327 0.006540   -4.45195
    328 0.006560   -4.44634
    329 0.006580   -4.44075
    330 0.006600   -4.43518
    331 0.006620   -4.42963
    332 0.006640   -4.42410
    333 0.006660   -4.41859
    334 0.006680   -4.41310
    335 0.006700   -4.40762
    336 0.006720   -4.40217
    337 0.006740   -4.39673
    338 0.006760   -4.39132
    339 0.006780   -4.38592
    340 0.006800   -4.38054
    341 0.006820   -4.37518
    342 0.006840   -4.36984
    343 0.006860   -4.36452
    344 0.006880   -4.35921
    345 0.006900   -4.35393
    346 0.006920   -4.34866
    347 0.006940   -4.34341
    348 0.006960   -4.33818
    349 0.006980   -4.33296
    350 0.007000   -4.32777
    351 0.007020   -4.32259
    352 0.007040   -4.31743
    353 0.007060   -4.31229
    354 0.007080   -4.30716
    355 0.007100   -4.30205
    356 0.007120   -4.29696
    357 0.007140   -4.29189
    358 0.007160   -4.28684
    359 0.007180   -4.28180
    360 0.007200   -4.27678
    361 0.007220   -4.27177
    362 0.007240   -4.26679
    363 0.007260   -4.26182
    364 0.007280   -4.25686
    365 0.007300   -4.25193
    366 0.007320   -4.24701
    367 0.007340   -4.24210
    368 0.007360   -4.23722
    369 0.007380   -4.23235
    370 0.007400   -4.22749
    371 0.007420   -4.22266
    372 0.007440   -4.21784
    373 0.007460   -4.21303
    374 0.007480   -4.20824
    375 0.007500   -4.20347
    376 0.007520   -4.19871
    377 0.007540   -4.19397
    378 0.007560   -4.18925
    379 0.007580   -4.18454
    380 0.007600   -4.17985
    381 0.007620   -4.17517
    382 0.007640   -4.17051
    383 0.007660   -4.16586
    384 0.007680   -4.16123
    385 0.007700   -4.15661
    386 0.007720   -4.15201
    387 0.007740   -4.14743
    388 0.007760   -4.14286
    389 0.007780   -4.13830
    390 0.007800   -4.13377
    391 0.007820   -4.12924
    392 0.007840   -4.12473
    393 0.007860   -4.12024
    394 0.007880   -4.11576
    395 0.007900   -4.11129
    396 0.007920   -4.10684
    397 0.007940   -4.10240
    398 0.007960   -4.09798
    399 0.007980   -4.09358
    400 0.008000   -4.08918
    401 0.008020   -4.08481
    402 0.008040   -4.08044
    403 0.008060   -4.07609
    404 0.008080   -4.07176
    405 0.008100   -4.06744
    406 0.008120   -4.06313
    407 0.008140   -4.05884
    408 0.008160   -4.05456
    409 0.008180   -4.05029
    410 0.008200   -4.04604
    411 0.008220   -4.04180
    412 0.008240   -4.03758
    413 0.008260   -4.03337
    414 0.008280   -4.02917
    415 0.008300   -4.02499
    416 0.008320   -4.02082
    417 0.008340   -4.01666
    418 0.008360   -4.01252
    419 0.008380   -4.00839
    420 0.008400   -4.00428
    421 0.008420   -4.00017
    422 0.008440   -3.99609
    423 0.008460   -3.99201
    424 0.008480   -3.98795
    425 0.008500   -3.98390
    426 0.008520   -3.97986
    427 0.008540   -3.97583
    428 0.008560   -3.97182
    429 0.008580   -3.96782
    430 0.008600   -3.96384
    431 0.008620   -3.95987
    432 0.008640   -3.95590
    433 0.008660   -3.95196
    434 0.008680   -3.94802
    435 0.008700   -3.94410
    436 0.008720   -3.94019
    437 0.008740   -3.93629
    438 0.008760   -3.93240
    439 0.008780   -3.92853
    440 0.008800   -3.92467
    441 0.008820   -3.92082
    442 0.008840   -3.91699
    443 0.008860   -3.91316
    444 0.008880   -3.90935
    445 0.008900   -3.90555
    446 0.008920   -3.90176
    447 0.008940   -3.89798
    448 0.008960   -3.89422
    449 0.008980   -3.89047
    450 0.009000   -3.88672
    451 0.009020   -3.88300
    452 0.009040   -3.87928
    453 0.009060   -3.87557
    454 0.009080   -3.87188
    455 0.009100   -3.86819
    456 0.009120   -3.86452
    457 0.009140   -3.86086
    458 0.009160   -3.85721
    459 0.009180   -3.85358
    460 0.009200   -3.84995
    461 0.009220   -3.84634
    462 0.009240   -3.84273
    463 0.009260   -3.83914
    464 0.009280   -3.83556
    465 0.009300   -3.83199
    466 0.009320   -3.82843
    467 0.009340   -3.82488
    468 0.009360   -3.82135
    469 0.009380   -3.81782
    470 0.009400   -3.81431
    471 0.009420   -3.81080
    472 0.009440   -3.80731
    473 0.009460   -3.80383
    474 0.009480   -3.80035
    475 0.009500   -3.79689
    476 0.009520   -3.79344
    477 0.009540   -3.79000
    478 0.009560   -3.78657
    479 0.009580   -3.78315
    480 0.009600   -3.77975
    481 0.009620   -3.77635
    482 0.009640   -3.77296
    483 0.009660   -3.76958
    484 0.009680   -3.76622
    485 0.009700   -3.76286
    486 0.009720   -3.75951
    487 0.009740   -3.75618
    488 0.009760   -3.75285
    489 0.009780   -3.74953
    490 0.009800   -3.74623
    491 0.009820   -3.74293
    492 0.009840   -3.73965
    493 0.009860   -3.73637
    494 0.009880   -3.73311
    495 0.009900   -3.72985
    496 0.009920   -3.72660
    497 0.009940   -3.72337
    498 0.009960   -3.72014
    499 0.009980   -3.71692
    500 0.010000   -3.71372
    501 0.010020   -3.71052
    502 0.010040   -3.70733
    503 0.010060   -3.70415
    504 0.010080   -3.70098
    505 0.010100   -3.69782
    506 0.010120   -3.69467
    507 0.010140   -3.69153
    508 0.010160   -3.68840
    509 0.010180   -3.68528
    510 0.010200   -3.68217
    511 0.010220   -3.67907
    512 0.010240   -3.67597
    513 0.010260   -3.67289
    514 0.010280   -3.66981
    515 0.010300   -3.66675
    516 0.010320   -3.66369
    517 0.010340   -3.66064
    518 0.010360   -3.65760
    519 0.010380   -3.65457
    520 0.010400   -3.65155
    521 0.010420   -3.64854
    522 0.010440   -3.64554
    523 0.010460   -3.64255
    524 0.010480   -3.63956
    525 0.010500   -3.63658
    526 0.010520   -3.63362
    527 0.010540   -3.63066
    528 0.010560   -3.62771
    529 0.010580   -3.62477
    530 0.010600   -3.62183
    531 0.010620   -3.61891
    532 0.010640   -3.61600
    533 0.010660   -3.61309
    534 0.010680   -3.61019
    535 0.010700   -3.60730
    536 0.010720   -3.60442
    537 0.010740   -3.60155
    538 0.010760   -3.59868
    539 0.010780   -3.59583
    540 0.010800   -3.59298
    541 0.010820   -3.59014
    542 0.010840   -3.58731
    543 0.010860   -3.58449
    544 0.010880   -3.58167
    545 0.010900   -3.57887
    546 0.010920   -3.57607
    547 0.010940   -3.57328
    548 0.010960   -3.57050
    549 0.010980   -3.56772
    550 0.011000   -3.56496
    551 0.011020   -3.56220
    552 0.011040   -3.55945
    553 0.011060   -3.55671
    554 0.011080   -3.55397
    555 0.011100   -3.55125
    556 0.011120   -3.54853
    557 0.011140   -3.54582
    558 0.011160   -3.54312
    559 0.011180   -3.54042
    560 0.011200   -3.53774
    561 0.011220   -3.53506
    562 0.011240   -3.53239
    563 0.011260   -3.52972
    564 0.011280   -3.52707
    565 0.011300   -3.52442
    566 0.011320   -3.52178
    567 0.011340   -3.51914
    568 0.011360   -3.51652
    569 0.011380   -3.51390
    570 0.011400   -3.51129
    571 0.011420   -3.50869
    572 0.011440   -3.50609
    573 0.011460   -3.50350
    574 0.011480   -3.50092
    575 0.011500   -3.49835
    576 0.011520   -3.49578
    577 0.011540   -3.49322
    578 0.011560   -3.49067
    579 0.011580   -3.48813
    580 0.011600   -3.48559
    581 0.011620   -3.48306
    582 0.011640   -3.48054
    583 0.011660   -3.47802
    584 0.011680   -3.47552
    585 0.011700   -3.47301
    586 0.011720   -3.47052
    587 0.011740   -3.46803
    588 0.011760   -3.46555
    589 0.011780   -3.46308
    590 0.011800   -3.46061
    591 0.011820   -3.45816
    592 0.011840   -3.45570
    593 0.011860   -3.45326
    594 0.011880   -3.45082
    595 0.011900   -3.44839
    596 0.011920   -3.44596
    597 0.011940   -3.44355
    598 0.011960   -3.44113
    599 0.011980   -3.43873
    600 0.012000   -3.43633
    601 0.012020   -3.43394
    602 0.012040   -3.43156
    603 0.012060   -3.42918
    604 0.012080   -3.42681
    605 0.012100   -3.42444
    606 0.012120   -3.42209
    607 0.012140   -3.41974
    608 0.012160   -3.41739
    609 0.012180   -3.41505
    610 0.012200   -3.41272
    611 0.012220   -3.41040
    612 0.012240   -3.40808
    613 0.012260   -3.40577
    614 0.012280   -3.40346
    615 0.012300   -3.40116
    616 0.012320   -3.39887
    617 0.012340   -3.39658
    618 0.012360   -3.39430
    619 0.012380   -3.39203
    620 0.012400   -3.38976
    621 0.012420   -3.38750
    622 0.012440   -3.38524
    623 0.012460   -3.38300
    624 0.012480   -3.38075
    625 0.012500   -3.37852
    626 0.012520   -3.37629
    627 0.012540   -3.37406
    628 0.012560   -3.37184
    629 0.012580   -3.36963
    630 0.012600   -3.36743
    631 0.012620   -3.36523
    632 0.012640   -3.36303
    633 0.012660   -3.36084
    634 0.012680   -3.35866
    635 0.012700   -3.35649
    636 0.012720   -3.35432
    637 0.012740   -3.35215
    638 0.012760   -3.35000
    639 0.012780   -3.34784
    640 0.012800   -3.34570
    641 0.012820   -3.34356
    642 0.012840   -3.34142
    643 0.012860   -3.33929
    644 0.012880   -3.33717
    645 0.012900   -3.33505
    646 0.012920   -3.33294
    647 0.012940   -3.33084
    648 0.012960   -3.32874
    649 0.012980   -3.32664
    650 0.013000   -3.32455
    651 0.013020   -3.32247
    652 0.013040   -3.32039
    653 0.013060   -3.31832
    654 0.013080   -3.31626
    655 0.013100   -3.31420
    656 0.013120   -3.31214
    657 0.013140   -3.31009
    658 0.013160   -3.30805
    659 0.013180   -3.30601
    660 0.013200   -3.30398
    661 0.013220   -3.30195
    662 0.013240   -3.29993
    663 0.013260   -3.29791
    664 0.013280   -3.29590
    665 0.013300   -3.29389
    666 0.013320   -3.29189
    667 0.013340   -3.28990
    668 0.013360   -3.28791
    669 0.013380   -3.28593
    670 0.013400   -3.28395
    671 0.013420   -3.28197
    672 0.013440   -3.28000
    673 0.013460   -3.27804
    674 0.013480   -3.27608
    675 0.013500   -3.27413
    676 0.013520   -3.27218
    677 0.013540   -3.27024
    678 0.013560   -3.26830
    679 0.013580   -3.26637
    680 0.013600   -3.26445
    681 0.013620   -3.26252
    682 0.013640   -3.26061
    683 0.013660   -3.25870
    684 0.013680   -3.25679
    685 0.013700   -3.25489
    686 0.013720   -3.25299
    687 0.013740   -3.25110
    688 0.013760   -3.24921
    689 0.013780   -3.24733
    690 0.013800   -3.24546
    691 0.013820   -3.24358
    692 0.013840   -3.24172
    693 0.013860   -3.23986
    694 0.013880   -3.23800
    695 0.013900   -3.23615
    696 0.013920   -3.23430
    697 0.013940   -3.23246
    698 0.013960   -3.23062
    699 0.013980   -3.22879
    700 0.014000   -3.22696
    701 0.014020   -3.22514
    702 0.014040   -3.22332
    703 0.014060   -3.22151
    704 0.014080   -3.21970
    705 0.014100   -3.21790
    706 0.014120   -3.21610
    707 0.014140   -3.21430
    708 0.014160   -3.21251
    709 0.014180   -3.21073
    710 0.014200   -3.20895
    711 0.014220   -3.20717
    712 0.014240   -3.20540
    713 0.014260   -3.20364
    714 0.014280   -3.20187
    715 0.014300   -3.20012
    716 0.014320   -3.19836
    717 0.014340   -3.19662
    718 0.014360   -3.19487
    719 0.014380   -3.19313
    720 0.014400   -3.19140
    721 0.014420   -3.18967
    722 0.014440   -3.18794
    723 0.014460   -3.18622
    724 0.014480   -3.18451
    725 0.014500   -3.18279
    726 0.014520   -3.18109
    727 0.014540   -3.17938
    728 0.014560   -3.17768
    729 0.014580   -3.17599
    730 0.014600   -3.17430
    731 0.014620   -3.17261
    732 0.014640   -3.17093
    733 0.014660   -3.16925
    734 0.014680   -3.16758
    735 0.014700   -3.16591
    736 0.014720   -3.16425
    737 0.014740   -3.16259
    738 0.014760   -3.16093
    739 0.014780   -3.15928
    740 0.014800   -3.15763
    741 0.014820   -3.15599
    742 0.014840   -3.15435
    743 0.014860   -3.15272
    744 0.014880   -3.15109
    745 0.014900   -3.14946
    746 0.014920   -3.14784
    747 0.014940   -3.14622
    748 0.014960   -3.14461
    749 0.014980   -3.14300
    750 0.015000   -3.14139
    751 0.015020   -3.13979
    752 0.015040   -3.13819
    753 0.015060   -3.13660
    754 0.015080   -3.13501
    755 0.015100   -3.13342
    756 0.015120   -3.13184
    757 0.015140   -3.13027
    758 0.015160   -3.12869
    759 0.015180   -3.12712
    760 0.015200   -3.12556
    761 0.015220   -3.12400
    762 0.015240   -3.12244
    763 0.015260   -3.12088
    764 0.015280   -3.11933
    765 0.015300   -3.11779
    766 0.015320   -3.11625
    767 0.015340   -3.11471
    768 0.015360   -3.11318
    769 0.015380   -3.11164
    770 0.015400   -3.11012
    771 0.015420   -3.10860
    772 0.015440   -3.10708
    773 0.015460   -3.10556
    774 0.015480   -3.10405
    775 0.015500   -3.10254
    776 0.015520   -3.10104
    777 0.015540   -3.09954
    778 0.015560   -3.09804
    779 0.015580   -3.09655
    780 0.015600   -3.09506
    781 0.015620   -3.09358
    782 0.015640   -3.09210
    783 0.015660   -3.09062
    784 0.015680   -3.08915
    785 0.015700   -3.08768
    786 0.015720   -3.08621
    787 0.015740   -3.08475
    788 0.015760   -3.08329
    789 0.015780   -3.08183
    790 0.015800   -3.08038
    791 0.015820   -3.07893
    792 0.015840   -3.07749
    793 0.015860   -3.07605
    794 0.015880   -3.07461
    795 0.015900   -3.07318
    796 0.015920   -3.07175
    797 0.015940   -3.07032
    798 0.015960   -3.06890
    799 0.015980   -3.06748
    800 0.016000   -3.06606
    801 0.016020   -3.06465
    802 0.016040   -3.06324
    803 0.016060   -3.06183
    804 0.016080   -3.06043
    805 0.016100   -3.05903
