  0.000000   0.000000
  1.321451 -17.166662
 28.275399  -8.890042
 23.416852  17.862484
 -8.224738  11.636708
-13.199255  22.196112
-17.203284  24.326304
-36.252937  24.387341
-74.059267  26.474807
-87.450789  24.710837
-56.315806  64.030885
-42.905972  40.415662
-26.786096  28.879666
-24.668111  45.847957
 19.058809  56.950591
 24.320200  64.098025
 48.460341  46.385083
 80.535295  19.669179
 83.935057  17.361980
 88.421278  16.116825
 94.500565 -13.724174
 90.301218 -17.215491
 92.748802 -22.727134
 92.535173 -37.144078
 58.165227 -15.640736
 36.906034 -14.932707
 23.319193 -23.075045
 24.527726 -37.052522
 -1.272622 -21.878719
 -7.840205 -38.285470
-34.757530 -33.182775
-46.452223 -44.291513
-59.160131 -27.256081
-75.566881  -7.199316
-93.591113  -2.395703
-85.436567  -7.889035
-63.383892 -30.368969
-48.893704 -66.759239
  2.420118 -70.091861
 -4.116947 -95.056001
 19.681387 -96.728416
 37.076937 -88.824122
 29.960021 -75.280007
 44.120609  30.130924
 36.088137  80.590228
 40.470595  90.325632
 -2.432325  86.388745
 -5.880917  62.724693
 -4.959258  -3.762932
  0.000000   0.000000
