   9.80      0.60990     -0.70455     -0.25351     -0.67054 
   9.90      0.58455     -0.77160     -0.27718     -0.83436 
  10.00      0.55683     -0.85504     -0.09747     -0.91332 
  10.10      0.54708     -0.94637     -0.13676     -1.02924 
  10.20      0.53341     -1.04930     -0.06277     -0.90108 
  10.30      0.52713     -1.13940      0.04318     -1.07419 
  10.40      0.53145     -1.24682      0.04207     -0.60810 
  10.50      0.53566     -1.30763      0.18950     -0.21824 
  10.60      0.55461     -1.32946     -0.06962     -0.32349 
  10.70      0.54764     -1.36181     -0.31180      0.09242 
  10.80      0.51646     -1.35256     -0.31359      0.46894 
  10.90      0.48511     -1.30567     -0.59400      0.51900 
  11.00      0.42571     -1.25377     -0.84878      0.41887 
  11.10      0.34083     -1.21188     -0.42965      0.02720 
  11.20      0.29786     -1.20916     -0.08102     -0.13817 
  11.30      0.28976     -1.22298     -0.28415      0.08406 
  11.40      0.26135     -1.21457     -0.32489     -0.15520 
  11.50      0.22886     -1.23009     -0.19320     -0.05901 
  11.60      0.20954     -1.23599     -0.21136     -0.07917 
  11.70      0.18840     -1.24391     -0.11444      0.03311 
  11.80      0.17696     -1.24060      0.17182      0.28448 
  11.90      0.19414     -1.21215      0.25129      0.42714 
  12.00      0.21927     -1.16944      0.27709      0.28771 
  12.10      0.24698     -1.14067      0.00482      0.44322 
  12.20      0.24746     -1.09635      0.04704      0.71268 
  12.30      0.25216     -1.02508     -0.15684      0.40046 
  12.40      0.23648     -0.98503     -0.06003      0.51418 
  12.50      0.23048     -0.93361      0.01151      0.34758 
  12.60      0.23163     -0.89886      0.00607     -0.01221 
  12.70      0.23223     -0.90008      0.19194      0.07580 
  12.80      0.25143     -0.89250      0.26599      0.21626 
  12.90      0.27803     -0.87087      0.47528     -0.07716 
  13.00      0.32556     -0.87859      0.48665      0.21540 
  13.10      0.37422     -0.85705      0.75678      0.28271 
  13.20      0.44990     -0.82877      0.85746     -0.09938 
  13.30      0.53564     -0.83871      0.90167      0.27967 
  13.40      0.62581     -0.81075      0.66822      0.30531 
  13.50      0.69263     -0.78022      0.45099      0.02220 
  13.60      0.73773     -0.77799      0.10268      0.30584 
  13.70      0.74800     -0.74741      0.36446      0.46450 
  13.80      0.78445     -0.70096      0.06069      0.28398 
  13.90      0.79052     -0.67256     -0.27121     -0.07238 
  14.00      0.76339     -0.67980     -0.13489      0.18273 
  14.10      0.74991     -0.66153     -0.08647      0.12438 
  14.20      0.74126     -0.64909     -0.14833     -0.04395 
  14.30      0.72642     -0.65348     -0.16018     -0.03862 
  14.40      0.71041     -0.65735     -0.41321     -0.17183 
  14.50      0.66909     -0.67453     -0.18754     -0.29882 
  14.60      0.65033     -0.70441      0.08427      0.08666 
  14.70      0.65876     -0.69575      0.36503      0.25230 
  14.80      0.69526     -0.67051      0.17366      0.57099 
  14.90      0.71263     -0.61342     -0.13245      0.17751 
  15.00      0.69938     -0.59566      0.10152      0.17880 
  15.10      0.70954     -0.57778      0.17630      0.51423 
  15.20      0.72716     -0.52636     -0.17265      0.75377 
  15.30      0.70990     -0.45098     -0.03621      0.54061 
  15.40      0.70628     -0.39692     -0.33871      0.49046 
  15.50      0.67241     -0.34788     -0.51623      0.27898 
  15.60      0.62078     -0.31998     -0.13929      0.29071 
  15.70      0.60686     -0.29091      0.00074     -0.03694 
